,OTU_ID,Closeness_RAW,Date,Sample_type,Genotype,CLose_log,combine
1216,Otu14915,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1217,Otu13261,1.85E-05,4,Soil near roots,RNAi,-4.733060774,4Soil near rootsRNAi
1218,Otu1357,1.88E-05,4,Soil near roots,RNAi,-4.725535952,4Soil near rootsRNAi
1219,Otu1138,1.93E-05,4,Soil near roots,RNAi,-4.71440521,4Soil near rootsRNAi
1220,Otu1412,1.87E-05,4,Soil near roots,RNAi,-4.728662143,4Soil near rootsRNAi
1221,Otu2760,1.92E-05,4,Soil near roots,RNAi,-4.717578975,4Soil near rootsRNAi
1222,Otu770,1.86E-05,4,Soil near roots,RNAi,-4.729642575,4Soil near rootsRNAi
1223,Otu2718,1.89E-05,4,Soil near roots,RNAi,-4.723923374,4Soil near rootsRNAi
1224,Otu749,1.92E-05,4,Soil near roots,RNAi,-4.716545873,4Soil near rootsRNAi
1225,Otu1184,1.87E-05,4,Soil near roots,RNAi,-4.728954073,4Soil near rootsRNAi
1226,Otu796,1.76E-05,4,Soil near roots,RNAi,-4.753881677,4Soil near rootsRNAi
1227,Otu3401,1.92E-05,4,Soil near roots,RNAi,-4.717786965,4Soil near rootsRNAi
1228,Otu5083,1.82E-05,4,Soil near roots,RNAi,-4.739825411,4Soil near rootsRNAi
1229,Otu3950,1.88E-05,4,Soil near roots,RNAi,-4.724963641,4Soil near rootsRNAi
