SampleID	Type	Site	Year	Plantstage	Line	Genotype2	Genotype	Treatment
SOIL78	Bulk soil	Greenhouse	2014	Boot	WT	WT	WT	N10
SOIL79	Bulk soil	Greenhouse	2014	Boot	WT	WT	WT	N50
SOIL80	Bulk soil	Greenhouse	2014	Boot	WT	WT	WT	N100
RHZGH45	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RHZGH46	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RHZGH47	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RHZGH48	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RHZGH13	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RHZGH14	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RHZGH15	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RHZGH16	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RHZGH29	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RHZGH30	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RHZGH31	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RHZGH32	Rhizosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RHZGH41	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RHZGH42	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RHZGH43	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RHZGH44	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RHZGH9	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RHZGH10	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RHZGH11	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RHZGH12	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RHZGH25	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RHZGH26	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RHZGH27	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RHZGH28	Rhizosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RHZGH33	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RHZGH34	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RHZGH35	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RHZGH36	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RHZGH1	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RHZGH2	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RHZGH3	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RHZGH4	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RHZGH17	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
RHZGH18	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
RHZGH19	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
RHZGH20	Rhizosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
RootGH45	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RootGH46	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RootGH47	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RootGH48	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N10
RootGH13	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RootGH14	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RootGH15	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RootGH16	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N100
RootGH29	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RootGH30	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RootGH31	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RootGH32	Endosphere	Greenhouse	2014	Boot	405-2	pks40	RNAi	N50
RootGH41	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RootGH42	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RootGH43	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RootGH44	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N10
RootGH9	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RootGH10	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RootGH11	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RootGH12	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N100
RootGH25	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RootGH26	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RootGH27	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RootGH28	Endosphere	Greenhouse	2014	Boot	548-1	pks44	RNAi	N50
RootGH33	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RootGH34	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RootGH35	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RootGH36	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N10
RootGH1	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RootGH2	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RootGH3	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RootGH4	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N100
RootGH17	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
RootGH18	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
RootGH19	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
RootGH20	Endosphere	Greenhouse	2014	Boot	WT	WT	WT	N50
